종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중,ETF명
000720,현대건설,150.00,22470000,22290000,2.39,KODEX_200ESG
402340,SK스퀘어,39.00,21216000,19851000,2.13,KODEX_200ESG
010120,LS ELECTRIC,24.00,19224000,18600000,1.99,KODEX_200ESG
055550,신한지주,191.00,17858500,17209100,1.85,KODEX_200ESG
105560,KB금융,118.00,17959600,17180800,1.84,KODEX_200ESG
005380,현대차,36.00,17820000,16884000,1.81,KODEX_200ESG
000660,SK하이닉스,19.00,17518000,16653500,1.79,KODEX_200ESG
009150,삼성전기,38.00,16492000,16416000,1.76,KODEX_200ESG
017670,SK텔레콤,209.00,16699100,16302000,1.75,KODEX_200ESG
086790,하나금융지주,146.00,16118400,15622000,1.68,KODEX_200ESG
005490,POSCO홀딩스,45.00,15435000,15367500,1.65,KODEX_200ESG
005930,삼성전자,87.00,15633900,15312000,1.64,KODEX_200ESG
316140,우리금융지주,455.00,15288000,14719250,1.58,KODEX_200ESG
028260,삼성물산,55.00,14795000,14272500,1.53,KODEX_200ESG
034730,SK,44.00,14696000,14256000,1.53,KODEX_200ESG
032830,삼성생명,65.00,14495000,14121250,1.51,KODEX_200ESG
005830,DB손해보험,86.00,14869400,14121200,1.51,KODEX_200ESG
267260,HD현대일렉트릭,16.00,14640000,13984000,1.50,KODEX_200ESG
000270,기아,90.00,14022000,13554000,1.45,KODEX_200ESG
086280,현대글로비스,63.00,14584500,13545000,1.45,KODEX_200ESG
000150,두산,12.00,14436000,13416000,1.44,KODEX_200ESG
096770,SK이노베이션,117.00,13033800,13162500,1.41,KODEX_200ESG
028050,삼성E&A,392.00,12975200,13112400,1.41,KODEX_200ESG
006400,삼성SDI,31.00,12570500,12756500,1.37,KODEX_200ESG
016360,삼성증권,131.00,12785600,12366400,1.33,KODEX_200ESG
207940,삼성바이오로직스,8.00,12848000,12256000,1.31,KODEX_200ESG
267250,HD현대,50.00,12875000,12200000,1.31,KODEX_200ESG
030200,KT,200.00,12160000,12000000,1.29,KODEX_200ESG
323410,카카오뱅크,493.00,12152450,11955250,1.28,KODEX_200ESG
035420,NAVER,57.00,12112500,11770500,1.26,KODEX_200ESG
003230,삼양식품,10.00,11830000,11740000,1.26,KODEX_200ESG
138040,메리츠금융지주,102.00,11872800,11689200,1.25,KODEX_200ESG
011200,HMM,603.00,11854980,11680110,1.25,KODEX_200ESG
003670,포스코퓨처엠,53.00,11077000,11368500,1.22,KODEX_200ESG
068270,셀트리온,55.00,11330000,11055000,1.19,KODEX_200ESG
066570,LG전자,102.00,11424000,11016000,1.18,KODEX_200ESG
005940,NH투자증권,356.00,12193000,11000400,1.18,KODEX_200ESG
009830,한화솔루션,298.00,10623700,10891900,1.17,KODEX_200ESG
090430,아모레퍼시픽,76.00,10974400,10662800,1.14,KODEX_200ESG
329180,HD현대중공업,22.00,10967000,10527000,1.13,KODEX_200ESG
036570,엔씨소프트,47.00,10810000,10340000,1.11,KODEX_200ESG
373220,LG에너지솔루션,25.00,9862500,10131250,1.09,KODEX_200ESG
010950,S-Oil,92.00,10092400,10074000,1.08,KODEX_200ESG
259960,크래프톤,40.00,10180000,10000000,1.07,KODEX_200ESG
012330,현대모비스,25.00,10212500,9875000,1.06,KODEX_200ESG
035720,카카오,199.00,9711200,9353000,1.00,KODEX_200ESG
000810,삼성화재,21.00,9303000,9324000,1.00,KODEX_200ESG
010140,삼성중공업,375.00,9750000,9187500,0.99,KODEX_200ESG
009540,HD한국조선해양,26.00,9542000,8996000,0.96,KODEX_200ESG
018260,삼성에스디에스,59.00,9221700,8991600,0.96,KODEX_200ESG
011070,LG이노텍,29.00,9294500,8975500,0.96,KODEX_200ESG
034220,LG디스플레이,805.00,9257500,8935500,0.96,KODEX_200ESG
000100,유한양행,90.00,9036000,8793000,0.94,KODEX_200ESG
047050,포스코인터내셔널,116.00,8642000,8700000,0.93,KODEX_200ESG
047040,대우건설,498.00,8595480,8645280,0.93,KODEX_200ESG
024110,기업은행,366.00,8619300,8033700,0.86,KODEX_200ESG
138930,BNK금융지주,442.00,8256560,8031140,0.86,KODEX_200ESG
032640,LG유플러스,495.00,7969500,7578450,0.81,KODEX_200ESG
010060,OCI홀딩스,38.00,6794400,7307400,0.78,KODEX_200ESG
021240,코웨이,90.00,6615000,6561000,0.70,KODEX_200ESG
051900,LG생활건강,25.00,6187500,6050000,0.65,KODEX_200ESG
175330,JB금융지주,191.00,5940100,5682250,0.61,KODEX_200ESG
326030,SK바이오팜,58.00,5817400,5608600,0.60,KODEX_200ESG
011790,SKC,55.00,5428500,5252500,0.56,KODEX_200ESG
375500,DL이앤씨,73.00,4803400,5051600,0.54,KODEX_200ESG
336260,두산퓨얼셀,139.00,5302850,4976200,0.53,KODEX_200ESG
192820,코스맥스,25.00,5125000,4792500,0.51,KODEX_200ESG
097950,CJ제일제당,22.00,4719000,4763000,0.51,KODEX_200ESG
139130,iM금융지주,272.00,4806240,4572320,0.49,KODEX_200ESG
017800,현대엘리베이터,52.00,4529200,4414800,0.47,KODEX_200ESG
139480,이마트,45.00,4500000,4410000,0.47,KODEX_200ESG
001450,현대해상,140.00,4403000,4340000,0.47,KODEX_200ESG
251270,넷마블,87.00,4541400,4315200,0.46,KODEX_200ESG
011780,금호석유화학,36.00,4554000,4291200,0.46,KODEX_200ESG
006360,GS건설,151.00,3978850,3933550,0.42,KODEX_200ESG
377300,카카오페이,78.00,4173000,3931200,0.42,KODEX_200ESG
161890,한국콜마,51.00,4090200,3911700,0.42,KODEX_200ESG
022100,포스코DX,120.00,3666000,3564000,0.38,KODEX_200ESG
011170,롯데케미칼,43.00,3556100,3517400,0.38,KODEX_200ESG
004170,신세계,11.00,3707000,3360500,0.36,KODEX_200ESG
097230,HJ중공업,148.00,3633400,3352200,0.36,KODEX_200ESG
088350,한화생명,737.00,3478640,3342295,0.36,KODEX_200ESG
036460,한국가스공사,92.00,3256800,3201600,0.34,KODEX_200ESG
267270,HD건설기계,24.00,3122400,3016800,0.32,KODEX_200ESG
051600,한전KPS,51.00,3009000,2917200,0.31,KODEX_200ESG
204320,HL만도,59.00,3020800,2905750,0.31,KODEX_200ESG
011210,현대위아,35.00,2859500,2779000,0.30,KODEX_200ESG
302440,SK바이오사이언스,62.00,2678400,2604000,0.28,KODEX_200ESG
000120,CJ대한통운,24.00,2596800,2505600,0.27,KODEX_200ESG
030000,제일기획,129.00,2558070,2487120,0.27,KODEX_200ESG
023530,롯데쇼핑,23.00,2631200,2442600,0.26,KODEX_200ESG
214150,클래시스,44.00,2376000,2318800,0.25,KODEX_200ESG
004800,효성,16.00,2233600,2136000,0.23,KODEX_200ESG
003530,한화투자증권,307.00,2207330,2115230,0.23,KODEX_200ESG
069960,현대백화점,26.00,2197000,2059200,0.22,KODEX_200ESG
361610,SK아이이테크놀로지,87.00,1883550,1914000,0.21,KODEX_200ESG
298020,효성티앤씨,5.00,2007500,1907500,0.20,KODEX_200ESG
003690,코리안리,142.00,1892860,1892860,0.20,KODEX_200ESG
383220,F&F,29.00,1885000,1835700,0.20,KODEX_200ESG
294870,HDC현대산업개발,85.00,1891250,1814750,0.19,KODEX_200ESG
322000,HD현대에너지솔루션,13.00,1601600,1744600,0.19,KODEX_200ESG
001510,SK증권,859.00,1778130,1717141,0.18,KODEX_200ESG
195940,HK이노엔,34.00,1805400,1713600,0.18,KODEX_200ESG
002790,아모레퍼시픽홀딩스,59.00,1731650,1675600,0.18,KODEX_200ESG
000210,DL,26.00,1627600,1622400,0.17,KODEX_200ESG
001430,세아베스틸지주,24.00,1668000,1598400,0.17,KODEX_200ESG
004000,롯데정밀화학,31.00,1605800,1556200,0.17,KODEX_200ESG
029780,삼성카드,27.00,1485000,1447200,0.16,KODEX_200ESG
007310,오뚜기,4.00,1438000,1426000,0.15,KODEX_200ESG
018670,SK가스,5.00,1232500,1312500,0.14,KODEX_200ESG
195870,해성디에스,26.00,1409200,1310400,0.14,KODEX_200ESG
181710,NHN,31.00,1297350,1298900,0.14,KODEX_200ESG
285130,SK케미칼,22.00,1210000,1146200,0.12,KODEX_200ESG
298050,HS효성첨단소재,5.00,1130000,1102500,0.12,KODEX_200ESG
456040,OCI,11.00,1031800,1084600,0.12,KODEX_200ESG
005440,현대지에프홀딩스,77.00,1105720,1078770,0.12,KODEX_200ESG
039130,하나투어,26.00,1077700,1058200,0.11,KODEX_200ESG
038500,삼표시멘트,68.00,1114520,1042440,0.11,KODEX_200ESG
006040,동원산업,27.00,1080000,1040850,0.11,KODEX_200ESG
001500,현대차증권,93.00,1013700,965340,0.10,KODEX_200ESG
293490,카카오게임즈,77.00,1016400,956340,0.10,KODEX_200ESG
001680,대상,47.00,987000,942350,0.10,KODEX_200ESG
000370,한화손해보험,132.00,893640,884400,0.09,KODEX_200ESG
009520,포스코엠텍,50.00,866000,881000,0.09,KODEX_200ESG
005180,빙그레,12.00,890400,860400,0.09,KODEX_200ESG
001740,SK네트웍스,151.00,809360,786710,0.08,KODEX_200ESG
300720,한일시멘트,43.00,710790,702190,0.08,KODEX_200ESG
280360,롯데웰푸드,6.00,697200,667200,0.07,KODEX_200ESG
161000,애경케미칼,45.00,513000,666900,0.07,KODEX_200ESG
020000,한섬,27.00,702000,648000,0.07,KODEX_200ESG
000640,동아쏘시오홀딩스,6.00,590400,573000,0.06,KODEX_200ESG
089860,롯데렌탈,18.00,586800,554400,0.06,KODEX_200ESG
003850,보령,60.00,579000,554400,0.06,KODEX_200ESG
344820,KCC글라스,20.00,507000,499000,0.05,KODEX_200ESG
030610,교보증권,42.00,547680,498540,0.05,KODEX_200ESG
006120,SK디스커버리,9.00,486900,472500,0.05,KODEX_200ESG
024720,콜마홀딩스,53.00,486540,470110,0.05,KODEX_200ESG
031430,신세계인터내셔날,38.00,471580,461320,0.05,KODEX_200ESG
071320,지역난방공사,6.00,476400,448200,0.05,KODEX_200ESG
006220,제주은행,36.00,461160,443700,0.05,KODEX_200ESG
060980,HL홀딩스,9.00,407250,394200,0.04,KODEX_200ESG
017810,풀무원,33.00,399630,392370,0.04,KODEX_200ESG
013890,지누스,36.00,389520,371520,0.04,KODEX_200ESG
018250,애경산업,22.00,336600,363660,0.04,KODEX_200ESG
108670,LX하우시스,12.00,342600,340200,0.04,KODEX_200ESG
014820,동원시스템즈,13.00,341250,330200,0.04,KODEX_200ESG
136480,하림,102.00,328440,329460,0.04,KODEX_200ESG
145990,삼양사,7.00,319900,316050,0.03,KODEX_200ESG
105630,한세실업,27.00,329400,305370,0.03,KODEX_200ESG
KRD010010001,원화현금,,,14316378,1.54,KODEX_200ESG
000720,현대건설,150.00,22470000,22305000,2.39,TIGER_GREEN_NEWDEAL
402340,SK스퀘어,39.00,21216000,19929000,2.14,TIGER_GREEN_NEWDEAL
010120,LS ELECTRIC,24.00,19224000,18600000,1.99,TIGER_GREEN_NEWDEAL
105560,KB금융,118.00,17959600,17192600,1.84,TIGER_GREEN_NEWDEAL
055550,신한지주,191.00,17858500,17190000,1.84,TIGER_GREEN_NEWDEAL
005380,현대차,36.00,17820000,16884000,1.81,TIGER_GREEN_NEWDEAL
000660,SK하이닉스,19.00,17518000,16682000,1.79,TIGER_GREEN_NEWDEAL
009150,삼성전기,38.00,16492000,16416000,1.76,TIGER_GREEN_NEWDEAL
017670,SK텔레콤,209.00,16699100,16281100,1.75,TIGER_GREEN_NEWDEAL
086790,하나금융지주,146.00,16118400,15636600,1.68,TIGER_GREEN_NEWDEAL
005490,POSCO홀딩스,45.00,15435000,15367500,1.65,TIGER_GREEN_NEWDEAL
005930,삼성전자,87.00,15633900,15312000,1.64,TIGER_GREEN_NEWDEAL
316140,우리금융지주,455.00,15288000,14719250,1.58,TIGER_GREEN_NEWDEAL
028260,삼성물산,55.00,14795000,14272500,1.53,TIGER_GREEN_NEWDEAL
034730,SK,44.00,14696000,14212000,1.52,TIGER_GREEN_NEWDEAL
005830,DB손해보험,86.00,14869400,14129800,1.52,TIGER_GREEN_NEWDEAL
032830,삼성생명,65.00,14495000,14105000,1.51,TIGER_GREEN_NEWDEAL
267260,HD현대일렉트릭,16.00,14640000,13984000,1.50,TIGER_GREEN_NEWDEAL
000270,기아,90.00,14022000,13554000,1.45,TIGER_GREEN_NEWDEAL
086280,현대글로비스,63.00,14584500,13545000,1.45,TIGER_GREEN_NEWDEAL
000150,두산,12.00,14436000,13416000,1.44,TIGER_GREEN_NEWDEAL
096770,SK이노베이션,117.00,13033800,13150800,1.41,TIGER_GREEN_NEWDEAL
028050,삼성E&A,392.00,12975200,13092800,1.40,TIGER_GREEN_NEWDEAL
006400,삼성SDI,31.00,12570500,12756500,1.37,TIGER_GREEN_NEWDEAL
016360,삼성증권,131.00,12785600,12353300,1.32,TIGER_GREEN_NEWDEAL
207940,삼성바이오로직스,8.00,12848000,12256000,1.31,TIGER_GREEN_NEWDEAL
267250,HD현대,50.00,12875000,12200000,1.31,TIGER_GREEN_NEWDEAL
030200,KT,200.00,12160000,11980000,1.28,TIGER_GREEN_NEWDEAL
323410,카카오뱅크,493.00,12152450,11979900,1.28,TIGER_GREEN_NEWDEAL
035420,NAVER,57.00,12112500,11770500,1.26,TIGER_GREEN_NEWDEAL
003230,삼양식품,10.00,11830000,11730000,1.26,TIGER_GREEN_NEWDEAL
138040,메리츠금융지주,102.00,11872800,11689200,1.25,TIGER_GREEN_NEWDEAL
011200,HMM,603.00,11854980,11674080,1.25,TIGER_GREEN_NEWDEAL
003670,포스코퓨처엠,53.00,11077000,11368500,1.22,TIGER_GREEN_NEWDEAL
068270,셀트리온,55.00,11330000,11082500,1.19,TIGER_GREEN_NEWDEAL
066570,LG전자,102.00,11424000,11026200,1.18,TIGER_GREEN_NEWDEAL
005940,NH투자증권,356.00,12193000,10982600,1.18,TIGER_GREEN_NEWDEAL
009830,한화솔루션,298.00,10623700,10906800,1.17,TIGER_GREEN_NEWDEAL
090430,아모레퍼시픽,76.00,10974400,10655200,1.14,TIGER_GREEN_NEWDEAL
329180,HD현대중공업,22.00,10967000,10527000,1.13,TIGER_GREEN_NEWDEAL
036570,엔씨소프트,47.00,10810000,10340000,1.11,TIGER_GREEN_NEWDEAL
373220,LG에너지솔루션,25.00,9862500,10125000,1.09,TIGER_GREEN_NEWDEAL
010950,S-Oil,92.00,10092400,10064800,1.08,TIGER_GREEN_NEWDEAL
259960,크래프톤,40.00,10180000,10000000,1.07,TIGER_GREEN_NEWDEAL
012330,현대모비스,25.00,10212500,9875000,1.06,TIGER_GREEN_NEWDEAL
035720,카카오,199.00,9711200,9362950,1.00,TIGER_GREEN_NEWDEAL
000810,삼성화재,21.00,9303000,9313500,1.00,TIGER_GREEN_NEWDEAL
010140,삼성중공업,375.00,9750000,9168750,0.98,TIGER_GREEN_NEWDEAL
009540,HD한국조선해양,26.00,9542000,8996000,0.96,TIGER_GREEN_NEWDEAL
018260,삼성에스디에스,59.00,9221700,8985700,0.96,TIGER_GREEN_NEWDEAL
011070,LG이노텍,29.00,9294500,8975500,0.96,TIGER_GREEN_NEWDEAL
034220,LG디스플레이,805.00,9257500,8935500,0.96,TIGER_GREEN_NEWDEAL
000100,유한양행,90.00,9036000,8793000,0.94,TIGER_GREEN_NEWDEAL
047050,포스코인터내셔널,116.00,8642000,8700000,0.93,TIGER_GREEN_NEWDEAL
047040,대우건설,498.00,8595480,8660220,0.93,TIGER_GREEN_NEWDEAL
024110,기업은행,366.00,8619300,8033700,0.86,TIGER_GREEN_NEWDEAL
138930,BNK금융지주,442.00,8256560,8026720,0.86,TIGER_GREEN_NEWDEAL
032640,LG유플러스,495.00,7969500,7583400,0.81,TIGER_GREEN_NEWDEAL
010060,OCI홀딩스,38.00,6794400,7290300,0.78,TIGER_GREEN_NEWDEAL
021240,코웨이,90.00,6615000,6561000,0.70,TIGER_GREEN_NEWDEAL
051900,LG생활건강,25.00,6187500,6050000,0.65,TIGER_GREEN_NEWDEAL
175330,JB금융지주,191.00,5940100,5672700,0.61,TIGER_GREEN_NEWDEAL
326030,SK바이오팜,58.00,5817400,5608600,0.60,TIGER_GREEN_NEWDEAL
011790,SKC,55.00,5428500,5247000,0.56,TIGER_GREEN_NEWDEAL
375500,DL이앤씨,73.00,4803400,5051600,0.54,TIGER_GREEN_NEWDEAL
336260,두산퓨얼셀,139.00,5302850,4976200,0.53,TIGER_GREEN_NEWDEAL
192820,코스맥스,25.00,5125000,4785000,0.51,TIGER_GREEN_NEWDEAL
097950,CJ제일제당,22.00,4719000,4763000,0.51,TIGER_GREEN_NEWDEAL
139130,iM금융지주,272.00,4806240,4572320,0.49,TIGER_GREEN_NEWDEAL
139480,이마트,45.00,4500000,4414500,0.47,TIGER_GREEN_NEWDEAL
017800,현대엘리베이터,52.00,4529200,4409600,0.47,TIGER_GREEN_NEWDEAL
001450,현대해상,140.00,4403000,4340000,0.47,TIGER_GREEN_NEWDEAL
251270,넷마블,87.00,4541400,4315200,0.46,TIGER_GREEN_NEWDEAL
011780,금호석유화학,36.00,4554000,4287600,0.46,TIGER_GREEN_NEWDEAL
377300,카카오페이,78.00,4173000,3931200,0.42,TIGER_GREEN_NEWDEAL
006360,GS건설,151.00,3978850,3926000,0.42,TIGER_GREEN_NEWDEAL
161890,한국콜마,51.00,4090200,3916800,0.42,TIGER_GREEN_NEWDEAL
022100,포스코DX,120.00,3666000,3570000,0.38,TIGER_GREEN_NEWDEAL
011170,롯데케미칼,43.00,3556100,3521700,0.38,TIGER_GREEN_NEWDEAL
004170,신세계,11.00,3707000,3371500,0.36,TIGER_GREEN_NEWDEAL
097230,HJ중공업,148.00,3633400,3344800,0.36,TIGER_GREEN_NEWDEAL
088350,한화생명,737.00,3478640,3342295,0.36,TIGER_GREEN_NEWDEAL
036460,한국가스공사,92.00,3256800,3201600,0.34,TIGER_GREEN_NEWDEAL
267270,HD건설기계,24.00,3122400,3014400,0.32,TIGER_GREEN_NEWDEAL
051600,한전KPS,51.00,3009000,2917200,0.31,TIGER_GREEN_NEWDEAL
204320,HL만도,59.00,3020800,2902800,0.31,TIGER_GREEN_NEWDEAL
011210,현대위아,35.00,2859500,2779000,0.30,TIGER_GREEN_NEWDEAL
302440,SK바이오사이언스,62.00,2678400,2604000,0.28,TIGER_GREEN_NEWDEAL
000120,CJ대한통운,24.00,2596800,2508000,0.27,TIGER_GREEN_NEWDEAL
030000,제일기획,129.00,2558070,2487120,0.27,TIGER_GREEN_NEWDEAL
023530,롯데쇼핑,23.00,2631200,2451800,0.26,TIGER_GREEN_NEWDEAL
214150,클래시스,44.00,2376000,2318800,0.25,TIGER_GREEN_NEWDEAL
004800,효성,16.00,2233600,2132800,0.23,TIGER_GREEN_NEWDEAL
003530,한화투자증권,307.00,2207330,2115230,0.23,TIGER_GREEN_NEWDEAL
069960,현대백화점,26.00,2197000,2054000,0.22,TIGER_GREEN_NEWDEAL
361610,SK아이이테크놀로지,87.00,1883550,1914000,0.21,TIGER_GREEN_NEWDEAL
