종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중,ETF명
298020,효성티앤씨,5.00,2007500,1905000,0.20,TIGER_GREEN_NEWDEAL
003690,코리안리,142.00,1892860,1894280,0.20,TIGER_GREEN_NEWDEAL
383220,F&F,29.00,1885000,1835700,0.20,TIGER_GREEN_NEWDEAL
294870,HDC현대산업개발,85.00,1891250,1814750,0.19,TIGER_GREEN_NEWDEAL
322000,HD현대에너지솔루션,13.00,1601600,1740700,0.19,TIGER_GREEN_NEWDEAL
001510,SK증권,859.00,1778130,1717141,0.18,TIGER_GREEN_NEWDEAL
195940,HK이노엔,34.00,1805400,1713600,0.18,TIGER_GREEN_NEWDEAL
002790,아모레퍼시픽홀딩스,59.00,1731650,1675600,0.18,TIGER_GREEN_NEWDEAL
000210,DL,26.00,1627600,1619800,0.17,TIGER_GREEN_NEWDEAL
001430,세아베스틸지주,24.00,1668000,1598400,0.17,TIGER_GREEN_NEWDEAL
004000,롯데정밀화학,31.00,1605800,1553100,0.17,TIGER_GREEN_NEWDEAL
029780,삼성카드,27.00,1485000,1447200,0.16,TIGER_GREEN_NEWDEAL
007310,오뚜기,4.00,1438000,1426000,0.15,TIGER_GREEN_NEWDEAL
018670,SK가스,5.00,1232500,1312500,0.14,TIGER_GREEN_NEWDEAL
195870,해성디에스,26.00,1409200,1310400,0.14,TIGER_GREEN_NEWDEAL
181710,NHN,31.00,1297350,1297350,0.14,TIGER_GREEN_NEWDEAL
285130,SK케미칼,22.00,1210000,1146200,0.12,TIGER_GREEN_NEWDEAL
298050,HS효성첨단소재,5.00,1130000,1102500,0.12,TIGER_GREEN_NEWDEAL
456040,OCI,11.00,1031800,1084600,0.12,TIGER_GREEN_NEWDEAL
005440,현대지에프홀딩스,77.00,1105720,1078770,0.12,TIGER_GREEN_NEWDEAL
039130,하나투어,26.00,1077700,1058200,0.11,TIGER_GREEN_NEWDEAL
038500,삼표시멘트,68.00,1114520,1044480,0.11,TIGER_GREEN_NEWDEAL
006040,동원산업,27.00,1080000,1040850,0.11,TIGER_GREEN_NEWDEAL
001500,현대차증권,93.00,1013700,965340,0.10,TIGER_GREEN_NEWDEAL
293490,카카오게임즈,77.00,1016400,956340,0.10,TIGER_GREEN_NEWDEAL
001680,대상,47.00,987000,942350,0.10,TIGER_GREEN_NEWDEAL
000370,한화손해보험,132.00,893640,883080,0.09,TIGER_GREEN_NEWDEAL
009520,포스코엠텍,50.00,866000,881000,0.09,TIGER_GREEN_NEWDEAL
005180,빙그레,12.00,890400,860400,0.09,TIGER_GREEN_NEWDEAL
001740,SK네트웍스,151.00,809360,788220,0.08,TIGER_GREEN_NEWDEAL
300720,한일시멘트,43.00,710790,701760,0.08,TIGER_GREEN_NEWDEAL
280360,롯데웰푸드,6.00,697200,667200,0.07,TIGER_GREEN_NEWDEAL
161000,애경케미칼,45.00,513000,666900,0.07,TIGER_GREEN_NEWDEAL
020000,한섬,27.00,702000,646650,0.07,TIGER_GREEN_NEWDEAL
000640,동아쏘시오홀딩스,6.00,590400,573000,0.06,TIGER_GREEN_NEWDEAL
089860,롯데렌탈,18.00,586800,554400,0.06,TIGER_GREEN_NEWDEAL
003850,보령,60.00,579000,554400,0.06,TIGER_GREEN_NEWDEAL
030610,교보증권,42.00,547680,499800,0.05,TIGER_GREEN_NEWDEAL
344820,KCC글라스,20.00,507000,499000,0.05,TIGER_GREEN_NEWDEAL
006120,SK디스커버리,9.00,486900,472500,0.05,TIGER_GREEN_NEWDEAL
024720,콜마홀딩스,53.00,486540,470110,0.05,TIGER_GREEN_NEWDEAL
031430,신세계인터내셔날,38.00,471580,461320,0.05,TIGER_GREEN_NEWDEAL
071320,지역난방공사,6.00,476400,447600,0.05,TIGER_GREEN_NEWDEAL
006220,제주은행,36.00,461160,443700,0.05,TIGER_GREEN_NEWDEAL
060980,HL홀딩스,9.00,407250,393300,0.04,TIGER_GREEN_NEWDEAL
017810,풀무원,33.00,399630,392700,0.04,TIGER_GREEN_NEWDEAL
013890,지누스,36.00,389520,371520,0.04,TIGER_GREEN_NEWDEAL
018250,애경산업,22.00,336600,361900,0.04,TIGER_GREEN_NEWDEAL
108670,LX하우시스,12.00,342600,340200,0.04,TIGER_GREEN_NEWDEAL
014820,동원시스템즈,13.00,341250,330200,0.04,TIGER_GREEN_NEWDEAL
136480,하림,102.00,328440,329460,0.04,TIGER_GREEN_NEWDEAL
145990,삼양사,7.00,319900,316050,0.03,TIGER_GREEN_NEWDEAL
105630,한세실업,27.00,329400,305640,0.03,TIGER_GREEN_NEWDEAL
KRD010010001,원화현금,,,14316378,1.54,TIGER_GREEN_NEWDEAL
000720,현대건설,150.00,22470000,22275000,2.39,SOL_CLIMATE
402340,SK스퀘어,39.00,21216000,19929000,2.14,SOL_CLIMATE
010120,LS ELECTRIC,24.00,19224000,18624000,2.00,SOL_CLIMATE
055550,신한지주,191.00,17858500,17190000,1.84,SOL_CLIMATE
105560,KB금융,118.00,17959600,17157200,1.84,SOL_CLIMATE
005380,현대차,36.00,17820000,16866000,1.81,SOL_CLIMATE
000660,SK하이닉스,19.00,17518000,16653500,1.79,SOL_CLIMATE
009150,삼성전기,38.00,16492000,16435000,1.76,SOL_CLIMATE
017670,SK텔레콤,209.00,16699100,16302000,1.75,SOL_CLIMATE
086790,하나금융지주,146.00,16118400,15607400,1.67,SOL_CLIMATE
005490,POSCO홀딩스,45.00,15435000,15390000,1.65,SOL_CLIMATE
005930,삼성전자,87.00,15633900,15312000,1.64,SOL_CLIMATE
316140,우리금융지주,455.00,15288000,14719250,1.58,SOL_CLIMATE
028260,삼성물산,55.00,14795000,14300000,1.53,SOL_CLIMATE
034730,SK,44.00,14696000,14234000,1.53,SOL_CLIMATE
005830,DB손해보험,86.00,14869400,14121200,1.51,SOL_CLIMATE
032830,삼성생명,65.00,14495000,14105000,1.51,SOL_CLIMATE
267260,HD현대일렉트릭,16.00,14640000,13968000,1.50,SOL_CLIMATE
086280,현대글로비스,63.00,14584500,13545000,1.45,SOL_CLIMATE
000270,기아,90.00,14022000,13536000,1.45,SOL_CLIMATE
000150,두산,12.00,14436000,13416000,1.44,SOL_CLIMATE
096770,SK이노베이션,117.00,13033800,13150800,1.41,SOL_CLIMATE
028050,삼성E&A,392.00,12975200,13092800,1.40,SOL_CLIMATE
006400,삼성SDI,31.00,12570500,12772000,1.37,SOL_CLIMATE
016360,삼성증권,131.00,12785600,12379500,1.33,SOL_CLIMATE
207940,삼성바이오로직스,8.00,12848000,12256000,1.31,SOL_CLIMATE
267250,HD현대,50.00,12875000,12200000,1.31,SOL_CLIMATE
030200,KT,200.00,12160000,12000000,1.29,SOL_CLIMATE
323410,카카오뱅크,493.00,12152450,11979900,1.28,SOL_CLIMATE
003230,삼양식품,10.00,11830000,11750000,1.26,SOL_CLIMATE
035420,NAVER,57.00,12112500,11742000,1.26,SOL_CLIMATE
138040,메리츠금융지주,102.00,11872800,11689200,1.25,SOL_CLIMATE
011200,HMM,603.00,11854980,11674080,1.25,SOL_CLIMATE
003670,포스코퓨처엠,53.00,11077000,11368500,1.22,SOL_CLIMATE
068270,셀트리온,55.00,11330000,11055000,1.19,SOL_CLIMATE
066570,LG전자,102.00,11424000,11036400,1.18,SOL_CLIMATE
005940,NH투자증권,356.00,12193000,11000400,1.18,SOL_CLIMATE
009830,한화솔루션,298.00,10623700,10832300,1.16,SOL_CLIMATE
090430,아모레퍼시픽,76.00,10974400,10655200,1.14,SOL_CLIMATE
329180,HD현대중공업,22.00,10967000,10538000,1.13,SOL_CLIMATE
036570,엔씨소프트,47.00,10810000,10363500,1.11,SOL_CLIMATE
373220,LG에너지솔루션,25.00,9862500,10125000,1.09,SOL_CLIMATE
010950,S-Oil,92.00,10092400,10074000,1.08,SOL_CLIMATE
259960,크래프톤,40.00,10180000,10000000,1.07,SOL_CLIMATE
012330,현대모비스,25.00,10212500,9862500,1.06,SOL_CLIMATE
035720,카카오,199.00,9711200,9353000,1.00,SOL_CLIMATE
000810,삼성화재,21.00,9303000,9324000,1.00,SOL_CLIMATE
010140,삼성중공업,375.00,9750000,9168750,0.98,SOL_CLIMATE
018260,삼성에스디에스,59.00,9221700,8991600,0.96,SOL_CLIMATE
009540,HD한국조선해양,26.00,9542000,8983000,0.96,SOL_CLIMATE
011070,LG이노텍,29.00,9294500,8975500,0.96,SOL_CLIMATE
034220,LG디스플레이,805.00,9257500,8943550,0.96,SOL_CLIMATE
000100,유한양행,90.00,9036000,8802000,0.94,SOL_CLIMATE
047050,포스코인터내셔널,116.00,8642000,8711600,0.93,SOL_CLIMATE
047040,대우건설,498.00,8595480,8685120,0.93,SOL_CLIMATE
138930,BNK금융지주,442.00,8256560,8031140,0.86,SOL_CLIMATE
024110,기업은행,366.00,8619300,8015400,0.86,SOL_CLIMATE
032640,LG유플러스,495.00,7969500,7583400,0.81,SOL_CLIMATE
010060,OCI홀딩스,38.00,6794400,7261800,0.78,SOL_CLIMATE
021240,코웨이,90.00,6615000,6552000,0.70,SOL_CLIMATE
051900,LG생활건강,25.00,6187500,6050000,0.65,SOL_CLIMATE
175330,JB금융지주,191.00,5940100,5672700,0.61,SOL_CLIMATE
326030,SK바이오팜,58.00,5817400,5608600,0.60,SOL_CLIMATE
011790,SKC,55.00,5428500,5252500,0.56,SOL_CLIMATE
375500,DL이앤씨,73.00,4803400,5080800,0.54,SOL_CLIMATE
336260,두산퓨얼셀,139.00,5302850,4983150,0.53,SOL_CLIMATE
192820,코스맥스,25.00,5125000,4800000,0.51,SOL_CLIMATE
097950,CJ제일제당,22.00,4719000,4763000,0.51,SOL_CLIMATE
139130,iM금융지주,272.00,4806240,4572320,0.49,SOL_CLIMATE
139480,이마트,45.00,4500000,4423500,0.47,SOL_CLIMATE
017800,현대엘리베이터,52.00,4529200,4409600,0.47,SOL_CLIMATE
001450,현대해상,140.00,4403000,4333000,0.46,SOL_CLIMATE
251270,넷마블,87.00,4541400,4323900,0.46,SOL_CLIMATE
011780,금호석유화학,36.00,4554000,4284000,0.46,SOL_CLIMATE
006360,GS건설,151.00,3978850,3933550,0.42,SOL_CLIMATE
377300,카카오페이,78.00,4173000,3931200,0.42,SOL_CLIMATE
161890,한국콜마,51.00,4090200,3911700,0.42,SOL_CLIMATE
022100,포스코DX,120.00,3666000,3564000,0.38,SOL_CLIMATE
011170,롯데케미칼,43.00,3556100,3526000,0.38,SOL_CLIMATE
004170,신세계,11.00,3707000,3371500,0.36,SOL_CLIMATE
097230,HJ중공업,148.00,3633400,3352200,0.36,SOL_CLIMATE
088350,한화생명,737.00,3478640,3345980,0.36,SOL_CLIMATE
036460,한국가스공사,92.00,3256800,3201600,0.34,SOL_CLIMATE
267270,HD건설기계,24.00,3122400,3019200,0.32,SOL_CLIMATE
051600,한전KPS,51.00,3009000,2917200,0.31,SOL_CLIMATE
204320,HL만도,59.00,3020800,2908700,0.31,SOL_CLIMATE
011210,현대위아,35.00,2859500,2775500,0.30,SOL_CLIMATE
302440,SK바이오사이언스,62.00,2678400,2600900,0.28,SOL_CLIMATE
000120,CJ대한통운,24.00,2596800,2505600,0.27,SOL_CLIMATE
030000,제일기획,129.00,2558070,2487120,0.27,SOL_CLIMATE
023530,롯데쇼핑,23.00,2631200,2444900,0.26,SOL_CLIMATE
214150,클래시스,44.00,2376000,2318800,0.25,SOL_CLIMATE
004800,효성,16.00,2233600,2137600,0.23,SOL_CLIMATE
003530,한화투자증권,307.00,2207330,2115230,0.23,SOL_CLIMATE
069960,현대백화점,26.00,2197000,2059200,0.22,SOL_CLIMATE
361610,SK아이이테크놀로지,87.00,1883550,1918350,0.21,SOL_CLIMATE
298020,효성티앤씨,5.00,2007500,1905000,0.20,SOL_CLIMATE
003690,코리안리,142.00,1892860,1894280,0.20,SOL_CLIMATE
383220,F&F,29.00,1885000,1838600,0.20,SOL_CLIMATE
294870,HDC현대산업개발,85.00,1891250,1819000,0.20,SOL_CLIMATE
322000,HD현대에너지솔루션,13.00,1601600,1730300,0.19,SOL_CLIMATE
001510,SK증권,859.00,1778130,1717141,0.18,SOL_CLIMATE
195940,HK이노엔,34.00,1805400,1713600,0.18,SOL_CLIMATE
002790,아모레퍼시픽홀딩스,59.00,1731650,1681500,0.18,SOL_CLIMATE
000210,DL,26.00,1627600,1622400,0.17,SOL_CLIMATE
001430,세아베스틸지주,24.00,1668000,1598400,0.17,SOL_CLIMATE
004000,롯데정밀화학,31.00,1605800,1546900,0.17,SOL_CLIMATE
029780,삼성카드,27.00,1485000,1447200,0.16,SOL_CLIMATE
007310,오뚜기,4.00,1438000,1426000,0.15,SOL_CLIMATE
195870,해성디에스,26.00,1409200,1310400,0.14,SOL_CLIMATE
018670,SK가스,5.00,1232500,1307500,0.14,SOL_CLIMATE
181710,NHN,31.00,1297350,1298900,0.14,SOL_CLIMATE
285130,SK케미칼,22.00,1210000,1146200,0.12,SOL_CLIMATE
298050,HS효성첨단소재,5.00,1130000,1102500,0.12,SOL_CLIMATE
456040,OCI,11.00,1031800,1083500,0.12,SOL_CLIMATE
005440,현대지에프홀딩스,77.00,1105720,1078770,0.12,SOL_CLIMATE
039130,하나투어,26.00,1077700,1055600,0.11,SOL_CLIMATE
038500,삼표시멘트,68.00,1114520,1043120,0.11,SOL_CLIMATE
006040,동원산업,27.00,1080000,1040850,0.11,SOL_CLIMATE
001500,현대차증권,93.00,1013700,962550,0.10,SOL_CLIMATE
293490,카카오게임즈,77.00,1016400,954800,0.10,SOL_CLIMATE
001680,대상,47.00,987000,942350,0.10,SOL_CLIMATE
000370,한화손해보험,132.00,893640,884400,0.09,SOL_CLIMATE
009520,포스코엠텍,50.00,866000,881000,0.09,SOL_CLIMATE
005180,빙그레,12.00,890400,859200,0.09,SOL_CLIMATE
001740,SK네트웍스,151.00,809360,785200,0.08,SOL_CLIMATE
300720,한일시멘트,43.00,710790,702190,0.08,SOL_CLIMATE
280360,롯데웰푸드,6.00,697200,667200,0.07,SOL_CLIMATE
161000,애경케미칼,45.00,513000,666900,0.07,SOL_CLIMATE
020000,한섬,27.00,702000,646650,0.07,SOL_CLIMATE
000640,동아쏘시오홀딩스,6.00,590400,573600,0.06,SOL_CLIMATE
003850,보령,60.00,579000,555600,0.06,SOL_CLIMATE
089860,롯데렌탈,18.00,586800,554400,0.06,SOL_CLIMATE
344820,KCC글라스,20.00,507000,499000,0.05,SOL_CLIMATE
030610,교보증권,42.00,547680,498540,0.05,SOL_CLIMATE
006120,SK디스커버리,9.00,486900,472500,0.05,SOL_CLIMATE
024720,콜마홀딩스,53.00,486540,471170,0.05,SOL_CLIMATE
031430,신세계인터내셔날,38.00,471580,461320,0.05,SOL_CLIMATE
071320,지역난방공사,6.00,476400,449400,0.05,SOL_CLIMATE
006220,제주은행,36.00,461160,443160,0.05,SOL_CLIMATE
060980,HL홀딩스,9.00,407250,393750,0.04,SOL_CLIMATE
017810,풀무원,33.00,399630,392370,0.04,SOL_CLIMATE
013890,지누스,36.00,389520,371520,0.04,SOL_CLIMATE
018250,애경산업,22.00,336600,362560,0.04,SOL_CLIMATE
108670,LX하우시스,12.00,342600,340200,0.04,SOL_CLIMATE
014820,동원시스템즈,13.00,341250,330200,0.04,SOL_CLIMATE
136480,하림,102.00,328440,329460,0.04,SOL_CLIMATE
145990,삼양사,7.00,319900,316400,0.03,SOL_CLIMATE
105630,한세실업,27.00,329400,305910,0.03,SOL_CLIMATE
KRD010010001,원화현금,,,14316378,1.54,SOL_CLIMATE
010120,LS ELECTRIC,446.00,357246000,345650000,20.61,SOLAR_THEME
010060,OCI홀딩스,1665.00,297702000,316849500,18.89,SOLAR_THEME
009830,한화솔루션,8049.00,286946850,294593400,17.57,SOLAR_THEME
475150,SK이터닉스,2691.00,141008400,155808900,9.29,SOLAR_THEME
006400,삼성SDI,360.00,145980000,148500000,8.86,SOLAR_THEME
322000,HD현대에너지솔루션,1023.00,126033600,138207300,8.24,SOLAR_THEME
267260,HD현대일렉트릭,131.00,119865000,114232000,6.81,SOLAR_THEME
373220,LG에너지솔루션,218.00,86001000,89380000,5.33,SOLAR_THEME
003670,포스코퓨처엠,208.00,43472000,44616000,2.66,SOLAR_THEME
066970,엘앤에프,180.00,27954000,28062000,1.67,SOLAR_THEME
KRD010010001,원화현금,,,1082573,0.06,SOLAR_THEME
000660,SK하이닉스,1371.00,1264062000,1196883000,26.19,kodex_semiconductor
005930,삼성전자,5687.00,1021953900,1002618100,21.94,kodex_semiconductor
042700,한미반도체,1753.00,482951500,456656500,9.99,kodex_semiconductor
058470,리노공업,2070.00,217143000,203688000,4.46,kodex_semiconductor
240810,원익IPS,1374.00,166254000,155536800,3.40,kodex_semiconductor
039030,이오테크닉스,350.00,145950000,135100000,2.96,kodex_semiconductor
095340,ISC,425.00,106250000,105187500,2.30,kodex_semiconductor
000990,DB하이텍,1273.00,106677400,102858400,2.25,kodex_semiconductor
036930,주성엔지니어링,1324.00,92680000,85000800,1.86,kodex_semiconductor
403870,HPSP,1966.00,88764900,84341400,1.85,kodex_semiconductor
440110,파두,1505.00,78862000,75099500,1.64,kodex_semiconductor
319660,피에스케이,823.00,67568300,65840000,1.44,kodex_semiconductor
084370,유진테크,575.00,67160000,63997500,1.40,kodex_semiconductor
067310,하나마이크론,1998.00,62137800,58541400,1.28,kodex_semiconductor
098460,고영,2152.00,58749600,56059600,1.23,kodex_semiconductor
089030,테크윙,1115.00,57980000,54523500,1.19,kodex_semiconductor
218410,RFHIC,687.00,56608800,54066900,1.18,kodex_semiconductor
064760,티씨케이,234.00,55926000,54054000,1.18,kodex_semiconductor
101490,에스앤에스텍,678.00,56613000,53968800,1.18,kodex_semiconductor
222800,심텍,1030.00,57886000,53045000,1.16,kodex_semiconductor
131970,두산테스나,493.00,53391900,49940900,1.09,kodex_semiconductor
323280,태성,893.00,51794000,49472200,1.08,kodex_semiconductor
080220,제주반도체,1267.00,50870050,46942350,1.03,kodex_semiconductor
232140,와이씨,1646.00,30846040,29381100,0.64,kodex_semiconductor
031980,피에스케이홀딩스,297.00,29610900,29046600,0.64,kodex_semiconductor
322000,HD현대에너지솔루션,215.00,26488000,29046500,0.64,kodex_semiconductor
213420,덕산네오룩스,540.00,28620000,27216000,0.60,kodex_semiconductor
161580,필옵틱스,704.00,27808000,26681600,0.58,kodex_semiconductor
166090,하나머티리얼즈,438.00,27769200,26280000,0.57,kodex_semiconductor
183300,코미코,249.00,26767500,25547400,0.56,kodex_semiconductor
108320,LX세미콘,455.00,23478000,22886500,0.50,kodex_semiconductor
348210,넥스틴,315.00,22995000,21546000,0.47,kodex_semiconductor
036540,SFA반도체,3093.00,20290080,19516830,0.43,kodex_semiconductor
281820,케이씨텍,355.00,17324000,17057750,0.37,kodex_semiconductor
399720,가온칩스,252.00,16128000,15498000,0.34,kodex_semiconductor
KRD010010001,원화현금,,,17724131,0.39,kodex_semiconductor
